MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LotConfig,Neighborhood,Condition1,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,MoSold,SaleCondition,SalePrice,YrSold
60,RL,65.0,8450,Pave,Reg,Inside,CollgCr,Norm,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,150,856,GasA,Ex,Y,SBrkr,854,1,2,1,3,1,Gd,8,Typ,0,Attchd,2003.0,RFn,548,TA,TA,Y,0,61,0,0,0,2,Normal,208500,2008
20,RL,80.0,9600,Pave,Reg,FR2,Veenker,Feedr,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,284,1262,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,TA,6,Typ,1,Attchd,1976.0,RFn,460,TA,TA,Y,298,0,0,0,0,5,Normal,181500,2007
60,RL,68.0,11250,Pave,IR1,Inside,CollgCr,Norm,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,434,920,GasA,Ex,Y,SBrkr,866,1,2,1,3,1,Gd,6,Typ,1,Attchd,2001.0,RFn,608,TA,TA,Y,0,42,0,0,0,9,Normal,223500,2008
70,RL,60.0,9550,Pave,IR1,Corner,Crawfor,Norm,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,540,756,GasA,Gd,Y,SBrkr,756,1,1,0,3,1,Gd,7,Typ,1,Detchd,1998.0,Unf,642,TA,TA,Y,0,35,272,0,0,2,Abnorml,140000,2006
60,RL,84.0,14260,Pave,IR1,FR2,NoRidge,Norm,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,490,1145,GasA,Ex,Y,SBrkr,1053,1,2,1,4,1,Gd,9,Typ,1,Attchd,2000.0,RFn,836,TA,TA,Y,192,84,0,0,0,12,Normal,250000,2008
50,RL,85.0,14115,Pave,IR1,Inside,Mitchel,Norm,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,64,796,GasA,Ex,Y,SBrkr,566,1,1,1,1,1,TA,5,Typ,0,Attchd,1993.0,Unf,480,TA,TA,Y,40,30,0,0,0,10,Normal,143000,2009
20,RL,75.0,10084,Pave,Reg,Inside,Somerst,Norm,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,317,1686,GasA,Ex,Y,SBrkr,0,1,2,0,3,1,Gd,7,Typ,1,Attchd,2004.0,RFn,636,TA,TA,Y,255,57,0,0,0,8,Normal,307000,2007
50,RM,51.0,6120,Pave,Reg,Inside,OldTown,Artery,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,952,952,GasA,Gd,Y,FuseF,752,0,2,0,2,2,TA,8,Min1,2,Detchd,1931.0,Unf,468,Fa,TA,Y,90,0,205,0,0,4,Abnorml,129900,2008
190,RL,50.0,7420,Pave,Reg,Corner,BrkSide,Artery,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,140,991,GasA,Ex,Y,SBrkr,0,1,1,0,2,2,TA,5,Typ,2,Attchd,1939.0,RFn,205,Gd,TA,Y,0,4,0,0,0,1,Normal,118000,2008
20,RL,70.0,11200,Pave,Reg,Inside,Sawyer,Norm,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,134,1040,GasA,Ex,Y,SBrkr,0,1,1,0,3,1,TA,5,Typ,0,Detchd,1965.0,Unf,384,TA,TA,Y,0,0,0,0,0,2,Normal,129500,2008
60,RL,85.0,11924,Pave,IR1,Inside,NridgHt,Norm,2Story,9,5,2005,2006,Hip,CompShg,WdShing,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,177,1175,GasA,Ex,Y,SBrkr,1142,1,3,0,4,1,Ex,11,Typ,2,BuiltIn,2005.0,Fin,736,TA,TA,Y,147,21,0,0,0,7,Partial,345000,2006
20,RL,91.0,10652,Pave,IR1,Inside,CollgCr,Norm,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,1494,1494,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2006.0,RFn,840,TA,TA,Y,160,33,0,0,0,8,Partial,279500,2007
45,RM,51.0,6120,Pave,Reg,Corner,BrkSide,Norm,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,832,832,GasA,Ex,Y,FuseA,0,0,1,0,2,1,TA,5,Typ,0,Detchd,1991.0,Unf,576,TA,TA,Y,48,112,0,0,0,7,Normal,132000,2007
20,RL,66.0,13695,Pave,Reg,Inside,SawyerW,RRAe,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,468,1114,GasA,Ex,Y,SBrkr,0,1,1,1,3,1,Gd,6,Typ,0,Detchd,2004.0,Unf,576,TA,TA,Y,0,102,0,0,0,6,Normal,159000,2008
20,RL,70.0,7560,Pave,Reg,Inside,NAmes,Norm,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,525,1029,GasA,TA,Y,SBrkr,0,0,1,0,3,1,TA,6,Min1,0,Attchd,1958.0,Unf,294,TA,TA,Y,0,0,0,0,0,5,Abnorml,139000,2009
